address,campus_name,category,district,location,name,slno,th_campus,type,university
"Sri. C. Achutha Menon Government College, Kuttanellur, Thrissur","Sri. C. Achutha Menon Government College, Kuttanellur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Sri.%20C.%20Achutha%20Menon%20Government%20College%2C%20Kuttanellur%2C%20Thrissur,,1,False,Aided,Calicut University
"Panampilly Memorial Government College, Chalakkudy, Potta  PO, Thrissur-680 307","Panampilly Memorial Government College, Chalakkudy",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/f7xVWC3je9eyG2vC9,,2,False,Aided,Calicut University
"KKTM Government College, Pullut, Thrissur-680 663","KKTM Government College, Pullut",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=KKTM%20Government%20College%2C%20Pullut%2C%20Thrissur-680%20663,,3,False,Aided,Calicut University
"Vimala College, Thrissur-680 009","Vimala College, Thrissur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Vimala%20College%2C%20Thrissur-680%20009,,4,False,Aided,Calicut University
"St. Mary's College, Thrissur-680 020","St Mary  s College, Thrissur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=St.%20Mary%27s%20College%2C%20Thrissur-680%20020,,5,False,Aided,Calicut University
"Sree Krishna College, Guruvayur, Ariyannur PO, Thrissur-680 102","Sree Krishna College, Guruvayoor",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/ZT8j9QbfdFwiDcRr6,,6,False,Aided,Calicut University
"St. Joseph's College, Irinjalakuda, Thrissur-680 121","St. Joseph College, Irinjalakuda",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=St.%20Joseph%27s%20College%2C%20Irinjalakuda%2C%20Thrissur-680%20121,,7,False,Aided,Calicut University
"Christ College, Irinjalakuda, Thrissur-680 125","Christ College, Irinjalakuda",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/qt84jVvNyFtA1jDEA,,8,False,Aided,Calicut University
"Sree Narayana College, Nattika, Thrissur-680 566","Sree Narayana College, Nattika",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Sree%20Narayana%20College%2C%20Nattika%2C%20Thrissur-680%20566,,9,False,Aided,Calicut University
"Sree Vyasa N.S.S. College, P.O. Vyasagiri, Wadakkanchery, Thrissur","Sri Vyasa NSS College, Wadakkanchery",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Sree%20Vyasa%20N.S.S.%20College%2C%20P.O.%20Vyasagiri%2C%20Wadakkanchery%2C%20Thrissur,,10,False,Aided,Calicut University
"M. E. S. Asmabi College, P. Vemballur, Kodungallur PO, Thrissur-680 671","MES Asmabi College, Kodungallur",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/7hBKi1Ed8oyzda8Q6,,11,False,Aided,Calicut University
"Sacred Heart College for Women, Chalakkudy , Thrissur-680 307.","Sacred Heart College for Women, Chalakkudy",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Sacred%20Heart%20College%20for%20Women%2C%20Chalakkudy%20%2C%20Thrissur-680%20307.,,12,False,Aided,Calicut University
"Carmel College, Mala, Thrissur - 680 732","Carmel College, Mala",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/6V5MRbjjm5LUvs8T6,,13,False,Aided,Calicut University
"Prajyothi Niketan College, Pudukkad , Thrissur-680 301","Prajyothi Nikethan College, Puthukkad",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Prajyothi%20Niketan%20College%2C%20Pudukkad%20%2C%20Thrissur-680%20301,,14,False,Aided,Calicut University
"Naipunnya Institute of Management & Computer Technology, Pongam, Koratty, Thrissur","Naipunnya Institute of Management & Computer Technology, Koratty",Arts/Science/Commerce College,Thrissur,https://maps.app.goo.gl/w9rse3rAgedWbY4EA,,15,False,Unaided,Calicut University
"Mother Arts & Science College, Poovathur, Near Mullassery, Thrissur","Mother Arts & Science College, Poovathur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Mother%20Arts%20%26%20Science%20College%2C%20Poovathur%2C%20Near%20Mullassery%2C%20Thrissur,,16,False,Unaided,Calicut University
"A.C. Kunhimon Haji Memorial I.C.A College Thozhiyur PO, Thrissur-680 520.","AC Kunhumon Haji Memorial ICA College, Thozhiyur",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=A.C.%20Kunhimon%20Haji%20Memorial%20I.C.A%20College%20Thozhiyur%20PO%2C%20Thrissur-680%20520.,,17,False,Unaided,Calicut University
"Ansar Women's College, Perumpilavu, Thrissur","Ansar Women's College, Perumpilavu",Arts/Science/Commerce College,Thrissur,https://www.google.com/maps/search/?api=1&query=Ansar%20Women%27s%20College%2C%20Perumpilavu%2C%20Thrissur,,18,False,Unaided,Calicut University
