campus_name,slno,address,university,district,category,type,location,th_campus
"Sri. C. Achutha Menon Government College, Kuttanellur",1,"Sri. C. Achutha Menon Government College, Kuttanellur, Thrissur",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=Sri.%20C.%20Achutha%20Menon%20Government%20College%2C%20Kuttanellur%2C%20Thrissur,False
"Panampilly Memorial Government College, Chalakkudy",2,"Panampilly Memorial Government College, Chalakkudy, Potta  PO, Thrissur-680 307",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://maps.app.goo.gl/f7xVWC3je9eyG2vC9,False
"KKTM Government College, Pullut",3,"KKTM Government College, Pullut, Thrissur-680 663",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=KKTM%20Government%20College%2C%20Pullut%2C%20Thrissur-680%20663,False
"Vimala College, Thrissur",4,"Vimala College, Thrissur-680 009",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=Vimala%20College%2C%20Thrissur-680%20009,False
"St Mary  s College, Thrissur",5,"St. Mary's College, Thrissur-680 020",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=St.%20Mary%27s%20College%2C%20Thrissur-680%20020,False
"Sree Krishna College, Guruvayoor",6,"Sree Krishna College, Guruvayur, Ariyannur PO, Thrissur-680 102",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://maps.app.goo.gl/ZT8j9QbfdFwiDcRr6,False
"St. Joseph College, Irinjalakuda",7,"St. Joseph's College, Irinjalakuda, Thrissur-680 121",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=St.%20Joseph%27s%20College%2C%20Irinjalakuda%2C%20Thrissur-680%20121,False
"Christ College, Irinjalakuda",8,"Christ College, Irinjalakuda, Thrissur-680 125",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://maps.app.goo.gl/qt84jVvNyFtA1jDEA,False
"Sree Narayana College, Nattika",9,"Sree Narayana College, Nattika, Thrissur-680 566",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=Sree%20Narayana%20College%2C%20Nattika%2C%20Thrissur-680%20566,False
"Sri Vyasa NSS College, Wadakkanchery",10,"Sree Vyasa N.S.S. College, P.O. Vyasagiri, Wadakkanchery, Thrissur",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=Sree%20Vyasa%20N.S.S.%20College%2C%20P.O.%20Vyasagiri%2C%20Wadakkanchery%2C%20Thrissur,False
"MES Asmabi College, Kodungallur",11,"M. E. S. Asmabi College, P. Vemballur, Kodungallur PO, Thrissur-680 671",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://maps.app.goo.gl/7hBKi1Ed8oyzda8Q6,False
"Sacred Heart College for Women, Chalakkudy",12,"Sacred Heart College for Women, Chalakkudy , Thrissur-680 307.",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=Sacred%20Heart%20College%20for%20Women%2C%20Chalakkudy%20%2C%20Thrissur-680%20307.,False
"Carmel College, Mala",13,"Carmel College, Mala, Thrissur - 680 732",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://maps.app.goo.gl/6V5MRbjjm5LUvs8T6,False
"Prajyothi Nikethan College, Puthukkad",14,"Prajyothi Niketan College, Pudukkad , Thrissur-680 301",Calicut University,Thrissur,Arts/Science/Commerce College,Aided,https://www.google.com/maps/search/?api=1&query=Prajyothi%20Niketan%20College%2C%20Pudukkad%20%2C%20Thrissur-680%20301,False
